yıl,km,yas,küme,yas_ay,küme2
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,220.0,28,1,336,1
1996,264.0,28,4,336,1
1996,357.0,28,2,336,4
1997,270.0,27,4,324,1
1997,267.0,27,4,324,1
1997,243.0,27,4,324,1
1998,252.0,26,4,312,1
1998,289.0,26,4,312,4
1998,197.0,26,1,312,1
1999,247.0,25,4,300,1
1999,250.0,25,4,300,1
1999,230.0,25,1,300,1
2000,300.0,24,4,288,4
2000,186.0,24,1,288,1
2000,270.0,24,4,288,4
2001,187.0,23,1,276,1
2001,177.0,23,1,276,1
2001,303.0,23,4,276,4
2002,201.0,22,1,264,1
2002,299.0,22,4,264,4
2002,221.0,22,1,264,1
2003,278.0,21,4,252,4
2003,275.0,21,4,252,4
2003,327.0,21,2,252,4
2004,210.0,20,1,240,3
2004,234.0,20,1,240,3
2004,273.0,20,4,240,4
2005,255.0,19,4,228,3
2005,223.0,19,1,228,3
2005,202.0,19,1,228,3
2006,102.0,18,3,216,0
2006,235.0,18,1,216,3
2006,240.0,18,1,216,3
2007,239.0,17,1,204,3
2007,277.0,17,4,204,3
2007,260.0,17,4,204,3
2008,215.0,16,1,192,3
2008,225.0,16,1,192,3
2008,204.0,16,1,192,3
2009,228.0,15,1,180,3
2009,205.0,15,1,180,3
2009,225.0,15,1,180,3
2010,190.0,14,1,168,3
2010,82.0,14,0,168,0
2010,181.0,14,1,168,3
2011,151.0,13,3,156,0
2011,257.0,13,4,156,3
2011,150.0,13,3,156,0
2012,262.0,12,4,144,3
2012,126.0,12,3,144,0
2012,194.0,12,1,144,0
2013,77.0,11,0,132,0
2013,200.0,11,1,132,0
2013,180.0,11,1,132,0
2014,230.0,10,1,120,0
2014,132.0,10,3,120,0
2014,191.0,10,1,120,0
2015,190.0,9,1,108,0
2015,170.0,9,3,108,0
2015,155.0,9,3,108,0
2016,131.0,8,3,96,0
2016,200.0,8,1,96,0
2016,164.0,8,3,96,0
2017,138.0,7,3,84,0
2017,70.0,7,0,84,2
2017,175.0,7,3,84,0
2018,114.0,6,3,72,0
2018,160.0,6,3,72,0
2018,150.0,6,3,72,0
2019,90.0,5,0,60,2
2019,99.0,5,3,60,2
2019,110.0,5,3,60,0
2020,65.0,4,0,48,2
2020,55.0,4,0,48,2
2020,57.0,4,0,48,2
2021,42.0,3,0,36,2
2021,40.0,3,0,36,2
2021,55.0,3,0,36,2
2022,46.0,2,0,24,2
2022,46.0,2,0,24,2
2022,40.0,2,0,24,2
2023,14.0,1,0,12,2
2023,20.0,1,0,12,2
2023,42.0,1,0,12,2
2024,7.0,0,0,0,2
2024,10.0,0,0,0,2
2024,8.0,0,0,0,2
