yıl,km
1996,220.000
1996,220.000
1996,220.000
1996,220.000
1996,220.000 
1996,220.000
1996,220.000
1996,220.000
1996,220.000
1996,220.000
1996,220.000
1996,264.000
1996,357.000
1997,270.000
1997,267.000
1997,243.000
1998,252.000
1998,289.000
1998,197.000
1999,247.000
1999,250.000
1999,230.000
2000,300.000
2000,186.000
2000,270.000
2001,187.000
2001,177.000
2001,303.000
2002,201.000
2002,299.000
2002,221.000
2003,278.000
2003,275.000
2003,327.000
2004,210.000
2004,234.000
2004,273.000
2005,255.000
2005,223.000
2005,202.000
2006,102.000
2006,235.000
2006,240.000
2007,239.000
2007,277.000
2007,260.000
2008,215.000
2008,225.000
2008,204.000
2009,228.000
2009,205.000
2009,225.000
2010,190.000
2010,82.000
2010,181.000
2011,151.000
2011,257.000
2011,150.000
2012,262.000
2012,126.000
2012,194.000
2013,77.000
2013,200.000
2013,180.000
2014,230.000
2014,132.000
2014,191.000
2015,190.000
2015,170.000
2015,155.000
2016,131.000
2016,200.000
2016,164.000
2017,138.000
2017,70.000
2017,175.000
2018,114.000
2018,160.000
2018,150.000
2019,90.000
2019,99.000
2019,110.000
2020,65.000
2020,55.000
2020,57.000
2021,42.000
2021,40.000
2021,55.000
2022,46.000
2022,46.000
2022,40.000
2023,14.000
2023,20.000
2023,42.000
2024,7.000
2024,10.000
2024,8.000
