Yıl,Sigara İçen Kişi Sayısı (milyon),Sigaradan Ölen Kişi Sayısı (milyon),Toplam Ölen Kişi Sayısı (milyon)
2000,1.638,4.9,54.8
2001,1.643,5,55.3
2002,1.648,5.1,56
2003,1.653,5.2,56.6
2004,1.658,5.3,57.2
2005,1.672,5.4,58.8
2006,1.677,5.5,59.4
2007,1.682,5.6,60
2008,1.687,5.7,60.6
2009,1.692,5.8,61.2
2010,1.697,6.2,60.8
2011,1.701,6.3,61.3
2012,1.705,6.4,62
2013,1.709,6.5,62.4
2014,1.713,6.6,62.8
2015,1.707,7,57.4
2016,1.719,6.8,63.4
2017,1.723,7,57.4
2018,1.718,7.1,58.2
2019,1.671,7.7,59.3
2020,1.655,8,61
2021,1.638,8.2,59.5
2022,1.623,8.3,60.2
